編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
375,20260407,AI 助理工程師,"Python 熟悉，願意動手解決問題並持續學習。

你會負責的事情：
•	撰寫與維護基礎的 Python 腳本（如：資料前處理、格式轉換、自動化工具等）
•	開發與維護資料標記工具，協助檢查與回報標註品質
•	協助現場設備安裝與測試，記錄安裝流程與問",飛捷科技股份有限公司,電腦及其週邊設備製造業,40000,50000,大學,"[{'code': '12001003045', 'description': 'Python'}]",21,https://www.104.com.tw/job/8y599
380,20260407,自動化測試軟體工程師_15329,"1. X86 伺服器 (Intel / AMD) 功能診斷工具開發 (相關技能: Bash, Python, C)
2. AI 伺服器 (Nvidia / ARM) 功能診斷工具開發 (相關技能: Bash, Python, C)
3. 自動測試",和碩集團_和碩聯合科技股份有限公司,電腦及其週邊設備製造業,37000,65000,大學以上,[],4,https://www.104.com.tw/job/8zftp
381,20260402,ETL 資料工程師/大數據工程師,"Pentaho PDI、Talend、Informatica、Microsoft SSIS 等）進行數據抽取、轉換與載入，確保資料正確性與完整性。
3.熟悉 Python 或 Java 等程式語言，能撰寫 ETL 腳本與自動化流程。
4.設計並維護 Data",歐立威科技股份有限公司,電腦軟體服務業,40000,100000,大學以上,"[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003082', 'description': 'Scala'}, {'code': '12001004018', 'description': 'ETL'}]",12,https://www.104.com.tw/job/8ugrj
382,20260327,【台北外商】Senior DevOps Engineer,"Terraform、Ansible部署雲端服務
-使用Python開發、維護DevOps相關工具程式

【條件】
-熟悉AWS雲端、Kubernetes環境與監控工具Promethus、Grafana
-具備laC工具(Terraform)、CI/CD自動化工具",布魯斯人事顧問有限公司,人力仲介代徵,1600000,9999999,大學以上,"[{'code': '12001005023', 'description': 'AWS'}, {'code': '12001002017', 'description': 'Jenkins'}, {'code': '12001003045', 'description': 'Python'}]",9,https://www.104.com.tw/job/8yira
385,20260403,T－Python 工程師_人才招募,"【2年以上軟體相關經驗者，歡迎加入我們行列!】

【工作內容】
1. 熟悉Python程式語言，負責後端開發
2. 有 Django 開發大型網站兩年以上的經驗
3. 有 JQuery、JavaScript and Bootstrap 的網頁開發",緯創軟體股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",61,https://www.104.com.tw/job/69za2
386,20260406,後端工程師(CPD-X),"1.設計實現後端系統架構，確保系統穩定性與可擴展性
2.使用Python, Node.js或其他後端語言進行Web應用程式的開發
3.使用資料庫管理系統，設計和實現資料庫結構
4.與前端工程師密切合作，提供TESTful API接口
5.確保後端",鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,其他電子零組件相關業,40000,55000,大學以上,[],4,https://www.104.com.tw/job/83ucn
387,20260330,Senior Backend Engineer ｜資深後端工程師,"未來，讓瑞盛與你的職涯一起成就不凡。

*基本技能要求：
1. RESTful API： 熟練掌握RESTful API的設計和實現。
2. 多語言能力： 精通至少兩種後端開發語言，包括但不限於Python, JavaScript, Rust,",瑞盛數位科技股份有限公司,電腦軟體服務業,1000000,9999999,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003049', 'description': 'Ruby'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001011011', 'description': 'Firebase'}]",10,https://www.104.com.tw/job/88jyo
392,20260327,機器人控制軟體工程師  Robot Control Software Engineer,"並落實戶外機器人定位功能
4. 整合與導入機器人相關新技術
5. 測試和除錯

工作專業:
1. 熟悉 C/C++/Python, Linux作業系統
2. 曾經開發過ROS程式，熟悉架構與程式語言
3. 有機器人運動控制優化經驗
4. 有機器人定",優式機器人股份有限公司,消費性電子產品製造業,40000,55000,碩士以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",13,https://www.104.com.tw/job/86aui
396,20260407,【S】機器人控制深度學習演算法開發工程師,"隨著AI技術的快速進步，我們正在尋找具有創新思維、技術專長和熱情的專業人才加入我們的團隊。無論您是資深專家還是剛踏入職場的年輕才俊，都將在這裡擁有無限的發展機會，共同推動未來科技的前沿。

1. 熟悉 Python、C++ 任一編程語言
2. 熟",富智康國際股份有限公司,消費性電子產品製造業,40000,55000,大學以上,"[{'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",12,https://www.104.com.tw/job/8khea
397,20260407,軟體工程師_15259,"1. 測試工具開發與自動化流程設計，協助導入產線以提升測試效率與穩定性。
2. Windows/Linux系統操作，Python、C/C++、C# 等程式語言開發。
3. Embedded Firmware開發，測試治具設計、儀器控制與週邊介面整",和碩集團_和碩聯合科技股份有限公司,電腦及其週邊設備製造業,40000,55000,碩士,[],4,https://www.104.com.tw/job/8yiit
